updatedAt,log_return
2023-06-23,0.79343523
2023-06-24,0.79787822
2023-06-25,0.80130224
2023-06-26,0.7841106
2023-06-27,0.78555888
2023-06-28,0.79311917
2023-06-29,0.89400994
2023-06-30,0.91134865
2023-07-01,0.910657
2023-07-02,0.91236438
2023-07-03,0.91267221
2023-07-04,0.90515624
2023-07-05,0.85720043
2023-07-06,0.86412841
2023-07-07,0.8591457
2023-07-08,0.85936677
2023-07-09,0.80823665
2023-07-10,0.70173628
2023-07-11,0.70496733
2023-07-12,0.69596395
2023-07-13,0.87457594
2023-07-14,0.85310964
2023-07-15,0.85334933
2023-07-16,0.8544909
2023-07-17,0.86578008
2023-07-18,0.8893628
2023-07-19,0.88655772
2023-07-20,0.90382079
2023-07-21,0.90084801
2023-07-22,0.90318715
2023-07-23,0.90120923
2023-07-24,0.92239257
2023-07-25,0.92325152
2023-07-26,0.9319032
2023-07-27,0.93364456
2023-07-28,0.91882874
2023-07-29,0.84307206
2023-07-30,0.84773072
2023-07-31,0.852343
2023-08-01,0.84542378
2023-08-02,0.85712187
2023-08-03,0.86187144
2023-08-04,0.86050618
2023-08-05,0.8550928
2023-08-06,0.80428381
2023-08-07,0.80325226
2023-08-08,0.81282506
2023-08-09,0.81259143
2023-08-10,0.80519283
2023-08-11,0.80459707
2023-08-12,0.55247274
2023-08-13,0.55034259
2023-08-14,0.55894479
2023-08-15,0.58213083
2023-08-16,0.59803177
2023-08-17,0.60053592
2023-08-18,0.58800072
2023-08-19,0.5870373
2023-08-20,0.5859197
2023-08-21,0.5784187
2023-08-22,0.58306493
2023-08-23,0.59109655
2023-08-24,0.60030233
2023-08-25,0.5319169
2023-08-26,0.53179697
2023-08-27,0.54280099
2023-08-28,0.53873415
2023-08-29,0.57178669
2023-08-30,0.58601828
2023-08-31,0.60681742
2023-09-01,0.59935771
2023-09-02,0.59836735
2023-09-03,0.59784938
2023-09-04,0.59783118
2023-09-05,0.60833734
2023-09-06,0.61517015
2023-09-07,0.59019412
2023-09-08,0.58898187
2023-09-09,0.58644853
2023-09-10,0.61553879
2023-09-11,0.61316615
2023-09-12,0.61419248
2023-09-13,0.60469823
2023-09-14,0.59828945
2023-09-15,0.58704235
2023-09-16,0.56496804
2023-09-17,0.56495061
2023-09-18,0.57897093
2023-09-19,0.58415704
2023-09-20,0.58054443
2023-09-21,0.58782806
2023-09-22,0.5507818
2023-09-23,0.5412572
2023-09-24,0.53267693
2023-09-25,0.53248146
2023-09-26,0.52709717
2023-09-27,0.52695068
2023-09-28,0.50728095
2023-09-29,0.48811144
2023-09-30,0.48354026
2023-10-01,0.59774693
2023-10-02,0.60493072
2023-10-03,0.60507135
2023-10-04,0.61065406
2023-10-05,0.60604705
2023-10-06,0.60090201
2023-10-07,0.60135981
2023-10-08,0.59752398
2023-10-09,0.62583097
